country,vulnerability,cumulative_co2,justice_score
Grenada,0.38971797049365,7.679,0.04490355691826823
Seychelles,0.454550616744844,13.202,0.032006098911762
Saint Lucia,0.354692115057125,13.41,0.024614303612569395
Barbados,0.362758793848484,44.912,0.007901176029109688
Bahamas,0.452721186822024,70.267,0.006352465893359115
Montenegro,0.370826654320835,66.014,0.005533569915552497
Suriname,0.404046400969721,76.159,0.005236542736034954
Malta,0.326774749287953,79.691,0.0040497050388265485
Mauritius,0.437997251163699,109.105,0.0039779960143835336
Iceland,0.324717430705368,106.128,0.003031116334715182
Albania,0.415760258788981,137.137,0.003009767540839753
Equatorial Guinea,0.408846368716554,153.344,0.0026489294609220574
Tajikistan,0.387142929085956,160.328,0.0023997255844364026
Paraguay,0.380223703817868,168.962,0.00223711008235881
Gabon,0.432016895203815,193.401,0.0022222977001343353
Armenia,0.360753251488607,167.349,0.002142889185493273
Uruguay,0.394418630019933,208.37,0.0018838354588524286
Costa Rica,0.385472598247927,219.258,0.0017500957887928111
Panama,0.405735183077294,257.007,0.0015725743219265136
Georgia,0.416127466652967,266.723,0.0015543209461008841
Cyprus,0.358045179273661,239.023,0.0014917119579109543
Kyrgyzstan,0.34014538914198,275.588,0.0012297908410414768
Latvia,0.363794396198966,298.075,0.001216398549524253
Luxembourg,0.304532109455238,341.279,0.0008897189411422788
Lithuania,0.371290479006167,524.683,0.0007063010959193412
Lebanon,0.404157140287126,609.487,0.0006620241549568231
Jordan,0.398932938810697,638.737,0.0006235889729853003
Bosnia and Herzegovina,0.348200634410639,560.621,0.0006199921911941309
Slovenia,0.316883377946366,516.477,0.0006123622459478702
Mongolia,0.386440761874217,670.872,0.0005751702137821148
Croatia,0.377127618422253,662.536,0.0005683604482985897
Estonia,0.336699183498064,607.904,0.000552959388504697
Bahrain,0.43803259565986,842.263,0.0005194495615956825
Tunisia,0.36576446565425,809.005,0.0004515582813121524
Peru,0.419638432066655,1249.846,0.00033548369029173455
Azerbaijan,0.402055151781851,1206.988,0.00033283041866463155
Trinidad and Tobago,0.373036964348084,1122.828,0.00033193421444214236
Oman,0.41845215614645,1448.285,0.0002887300676861004
New Zealand,0.303632159404232,1125.731,0.00026948061196881243
Slovakia,0.357851550617891,1377.583,0.0002595792568295786
Serbia,0.40438529700635,1589.465,0.00025425601758375695
Singapore,0.39478531692656,1559.73,0.00025294914362289443
Morocco,0.389900621917994,1566.958,0.00024866777166097177
Ireland,0.317373682849394,1358.196,0.00023350104241727756
Turkmenistan,0.374020565818503,1670.934,0.00022370534113099142
Denmark,0.342695454598012,1668.538,0.00020526364455197304
Bulgaria,0.349755752693075,1708.904,0.00020454701123166858
Switzerland,0.282054050778178,1422.836,0.00019809447912412525
Hungary,0.354421036436658,1882.766,0.00018814493755416436
Sweden,0.317020616789244,1725.727,0.0001835962585801021
Portugal,0.334827756269113,1843.676,0.00018151033366787067
Norway,0.254184337171469,1426.981,0.00017800260449646668
Qatar,0.363452613338318,2145.792,0.00016930033898874137
Colombia,0.419625583196584,2477.66,0.000169295338286245
Belarus,0.354276266280424,2187.9,0.00016185127976628627
Israel,0.309203081264788,1964.683,0.00015730058268031418
Finland,0.288987169794264,1859.48,0.00015532936112952784
Chile,0.337839215434602,2183.635,0.00015464332276769434
Austria,0.303702659297618,2302.425,0.0001318482951681162
Romania,0.414898842602282,3374.599,0.00012291117594307913
Kuwait,0.363011666689505,2994.322,0.00012119286897685959
Greece,0.338983854771516,3005.714,0.00011274230098756183
Algeria,0.375612271911973,4113.108,9.129859301505283e-05
Uzbekistan,0.356174375103511,3934.068,9.051288951131492e-05
Belgium,0.343070592126183,3861.709,8.881605943553683e-05
United Arab Emirates,0.403896230212973,4888.656,8.260217696561333e-05
Argentina,0.401533576867251,5467.386,7.342817000615007e-05
Malaysia,0.37996270267978,6001.788,6.329770477980899e-05
Thailand,0.434622864882712,7186.4130000000005,6.0470000107509056e-05
Netherlands,0.341038430662212,5645.161,6.040182535747953e-05
Kazakhstan,0.317704685014673,7498.004,4.236625090674349e-05
Turkey,0.380631529917248,9967.19,3.818461826241755e-05
Ukraine,0.365971531267553,10949.6,3.342022640472239e-05
Spain,0.303541605474944,9509.323,3.191706585306766e-05
South Africa,0.39935232071188,13947.34,2.8630813466826877e-05
Brazil,0.37401153569916,13233.083999999999,2.8261233319900346e-05
Saudi Arabia,0.415698201293607,15334.653,2.7106651493327803e-05
Poland,0.305575177406473,11326.257,2.69769792816101e-05
Mexico,0.383183733373154,14502.648,2.6419817508888383e-05
Australia,0.32645269162782,12472.871,2.6170920929663293e-05
Italy,0.345866907265585,14271.698,2.4232762948223595e-05
France,0.303244860594214,12585.919,2.4092064197299914e-05
United Kingdom,0.287198223876755,17022.781,1.687041344556506e-05
Canada,0.282185221877821,18448.155,1.529529248780343e-05
Germany,0.301651048791294,28842.69,1.0458129621809624e-05
Japan,0.37123489020856,41054.567,9.042254615764044e-06
